relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
identity_xx,valid,28,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,29,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,30,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
fault_x,fault,1,48,48,33,34,0.02277914,0.22218314,1.06562785,0.09170616,1.02416028,2.80529938,3.79468935,120,True
fault_x,fault,2,48,48,33,33,0.12924493,0.5017173,1.82421588,0.45601285,1.87266243,3.09340627,4.19257297,120,True
fault_x,fault,3,48,48,33,33,0.11176233,0.42031974,1.48362359,0.11829101,1.0398158,2.17576426,3.17272445,120,True
fault_x,fault,4,48,48,33,34,0.56816261,0.98072782,3.93237342,1.04285413,3.94092242,3.84127939,5.34658684,120,True
fault_x,fault,5,48,48,33,33,0.22267381,0.43650384,1.14820023,0.11693517,0.74990504,2.21315332,3.12291819,120,True
fault_x,fault,6,48,48,33,34,0.94442334,1.29524511,3.97195469,1.21204264,3.93055143,4.93553176,6.3578384,120,True
fault_x,fault,7,48,48,33,33,0.04042964,0.40614617,1.55667423,0.10795279,0.95374531,2.65673982,3.54545278,120,True
fault_x,fault,8,48,48,33,34,0.10890494,0.30502098,1.27504043,0.09894986,1.00191117,2.30088471,3.22545366,120,True
fault_x,fault,9,48,48,33,34,0.20887059,0.66139906,3.85567437,0.96040193,3.82963206,4.10882178,5.17053368,120,True
fault_x,fault,10,48,48,33,33,0.0333331,0.28061111,1.47878741,0.05706991,0.99176493,1.73291163,2.84716616,120,True
fault_x,fault,11,48,48,33,33,0.26096053,0.46944746,1.18577271,0.06881352,1.2031628,2.71531354,3.45935566,120,True
fault_x,fault,12,48,48,33,34,0.65554977,0.97188422,3.91071346,1.16071144,3.88028507,4.3275815,5.76055841,120,True
fault_x,fault,13,48,48,33,33,0.15506107,0.46192395,1.5673492,0.17076074,1.27204542,2.63316932,3.37149018,120,True
