test_id,relation,type,tvd,p_value,violation,expected_violation
32,fault_remove_random,fault,0.5015,0.0,True,True
32,fault_change_target_qubit,fault,0.0142,0.1138,False,True
33,identity,valid,0.0005,0.9203,False,
33,barrier,valid,0.0017,0.749,False,
33,commute,valid,0.0015,0.7795,False,
33,fault_add_x,fault,0.0021,0.6745,False,True
33,fault_remove_random,fault,0.0023,0.6527,False,True
33,fault_change_target_qubit,fault,0.0049,0.332,False,True
34,identity,valid,0.0082,0.2656,False,
34,barrier,valid,0.0062,0.5299,False,
34,commute,valid,0.0057,0.6114,False,
34,fault_add_x,fault,0.0096,0.1952,False,True
34,fault_remove_random,fault,1.0,0.0,True,True
34,fault_change_target_qubit,fault,0.4979,0.0,True,True
35,identity,valid,0.0,1.0,False,
35,barrier,valid,0.0,1.0,False,
35,commute,valid,0.0,1.0,False,
35,fault_add_x,fault,1.0,0.0,True,True
35,fault_remove_random,fault,1.0,0.0,True,True
35,fault_change_target_qubit,fault,1.0,0.0,True,True
36,identity,valid,0.0129,0.2211,False,
36,barrier,valid,0.0087,0.6886,False,
36,commute,valid,0.0106,0.3814,False,
36,fault_add_x,fault,1.0,0.0,True,True
36,fault_remove_random,fault,1.0,0.0,True,True
36,fault_change_target_qubit,fault,0.0068,0.8667,False,True
37,identity,valid,0.011,0.0841,False,
37,barrier,valid,0.0113,0.1488,False,
37,commute,valid,0.0074,0.5144,False,
37,fault_add_x,fault,0.0137,0.034,True,True
37,fault_remove_random,fault,0.0132,0.0575,False,True
37,fault_change_target_qubit,fault,0.0086,0.2524,False,True
38,identity,valid,0.0098,0.6755,False,
38,barrier,valid,0.0146,0.1973,False,
38,commute,valid,0.003,0.9985,False,
38,fault_add_x,fault,0.0108,0.5589,False,True
38,fault_remove_random,fault,0.7492,0.0,True,True
38,fault_change_target_qubit,fault,0.013,0.2381,False,True
39,identity,valid,0.01,0.1607,False,
39,barrier,valid,0.0069,0.4618,False,
39,commute,valid,0.0076,0.2801,False,
39,fault_add_x,fault,0.0129,0.0742,False,True
39,fault_remove_random,fault,0.5033,0.0,True,True
39,fault_change_target_qubit,fault,0.5048,0.0,True,True
40,identity,valid,0.0054,0.7086,False,
40,barrier,valid,0.0061,0.5656,False,
40,commute,valid,0.0057,0.6138,False,
40,fault_add_x,fault,1.0,0.0,True,True
40,fault_remove_random,fault,0.5013,0.0,True,True
40,fault_change_target_qubit,fault,0.5038,0.0,True,True
41,identity,valid,0.0028,0.5823,False,
41,barrier,valid,0.002,0.6965,False,
41,commute,valid,0.0015,0.7718,False,
41,fault_add_x,fault,0.003,0.5552,False,True
41,fault_remove_random,fault,0.0022,0.6672,False,True
41,fault_change_target_qubit,fault,0.0023,0.6527,False,True
42,identity,valid,0.012,0.2876,False,
42,barrier,valid,0.0068,0.8981,False,
42,commute,valid,0.0089,0.6692,False,
42,fault_add_x,fault,1.0,0.0,True,True
42,fault_remove_random,fault,0.4996,0.0,True,True
42,fault_change_target_qubit,fault,0.7483,0.0,True,True
43,identity,valid,0.0003,0.9601,False,
43,barrier,valid,0.0013,0.8026,False,
43,commute,valid,0.0014,0.7795,False,
43,fault_add_x,fault,1.0,0.0,True,True
43,fault_remove_random,fault,1.0,0.0,True,True
43,fault_change_target_qubit,fault,0.0023,0.6599,False,True
44,identity,valid,0.0049,0.7493,False,
44,barrier,valid,0.0072,0.4674,False,
44,commute,valid,0.0085,0.2407,False,
44,fault_add_x,fault,0.0112,0.0621,False,True
44,fault_remove_random,fault,1.0,0.0,True,True
44,fault_change_target_qubit,fault,0.0031,0.9376,False,True
45,identity,valid,0.0006,0.9203,False,
45,barrier,valid,0.0106,0.0357,True,
45,commute,valid,0.0085,0.093,False,
45,fault_add_x,fault,1.0,0.0,True,True
45,fault_remove_random,fault,0.004,0.4354,False,True
45,fault_change_target_qubit,fault,1.0,0.0,True,True
46,identity,valid,0.005,0.3271,False,
46,barrier,valid,0.0037,0.4593,False,
46,commute,valid,0.0083,0.0969,False,
46,fault_add_x,fault,1.0,0.0,True,True
46,fault_remove_random,fault,0.0012,0.8259,False,True
46,fault_change_target_qubit,fault,0.004,0.4237,False,True
47,identity,valid,0.013,0.1496,False,
47,barrier,valid,0.0141,0.1406,False,
47,commute,valid,0.0157,0.0168,True,
47,fault_add_x,fault,0.0142,0.129,False,True
47,fault_remove_random,fault,0.0088,0.826,False,True
47,fault_change_target_qubit,fault,0.5049,0.0,True,True
48,identity,valid,0.0061,0.9394,False,
48,barrier,valid,0.0105,0.679,False,
48,commute,valid,0.0104,0.4104,False,
48,fault_add_x,fault,0.0084,0.7246,False,True
48,fault_remove_random,fault,0.4985,0.0,True,True
48,fault_change_target_qubit,fault,1.0,0.0,True,True
49,identity,valid,0.0,1.0,False,
49,barrier,valid,0.0,1.0,False,
49,commute,valid,0.0,1.0,False,
49,fault_add_x,fault,1.0,0.0,True,True
49,fault_remove_random,fault,1.0,0.0,True,True
49,fault_change_target_qubit,fault,0.7503,0.0,True,True
50,identity,valid,0.0049,0.7187,False,
50,barrier,valid,0.0033,0.9168,False,
50,commute,valid,0.0043,0.7797,False,
50,fault_add_x,fault,0.0049,0.7077,False,True
50,fault_remove_random,fault,0.501,0.0,True,True
50,fault_change_target_qubit,fault,1.0,0.0,True,True
51,identity,valid,0.0096,0.2925,False,
51,barrier,valid,0.0114,0.0691,False,
51,commute,valid,0.0105,0.2154,False,
51,fault_add_x,fault,1.0,0.0,True,True
51,fault_remove_random,fault,0.0088,0.1996,False,True
51,fault_change_target_qubit,fault,0.5024,0.0,True,True
52,identity,valid,0.0022,0.6745,False,
52,barrier,valid,0.002,0.6892,False,
52,commute,valid,0.0058,0.246,False,
52,fault_add_x,fault,1.0,0.0,True,True
52,fault_remove_random,fault,0.4996,0.0,True,True
52,fault_change_target_qubit,fault,0.0032,0.5287,False,True
53,identity,valid,0.0,1.0,False,
53,barrier,valid,0.0,1.0,False,
53,commute,valid,0.0,1.0,False,
53,fault_add_x,fault,1.0,0.0,True,True
53,fault_remove_random,fault,0.0,1.0,False,True
53,fault_change_target_qubit,fault,0.0,1.0,False,True
54,identity,valid,0.0088,0.3676,False,
54,barrier,valid,0.0078,0.3481,False,
54,commute,valid,0.0041,0.7947,False,
54,fault_add_x,fault,0.0056,0.7383,False,True
54,fault_remove_random,fault,0.0061,0.4838,False,True
54,fault_change_target_qubit,fault,0.0021,0.966,False,True
55,identity,valid,0.0064,0.6208,False,
55,barrier,valid,0.0062,0.5756,False,
55,commute,valid,0.0112,0.1703,False,
55,fault_add_x,fault,1.0,0.0,True,True
55,fault_remove_random,fault,1.0,0.0,True,True
55,fault_change_target_qubit,fault,1.0,0.0,True,True
56,identity,valid,0.0132,0.1918,False,
56,barrier,valid,0.015,0.1254,False,
56,commute,valid,0.0122,0.4043,False,
56,fault_add_x,fault,1.0,0.0,True,True
56,fault_remove_random,fault,0.0179,0.041,True,True
56,fault_change_target_qubit,fault,0.0095,0.4859,False,True
57,identity,valid,0.011,0.1149,False,
57,barrier,valid,0.0053,0.6176,False,
57,commute,valid,0.0082,0.4106,False,
57,fault_add_x,fault,0.0073,0.295,False,True
57,fault_remove_random,fault,0.498,0.0,True,True
57,fault_change_target_qubit,fault,1.0,0.0,True,True
58,identity,valid,0.0072,0.4252,False,
58,barrier,valid,0.0057,0.6693,False,
58,commute,valid,0.008,0.4201,False,
58,fault_add_x,fault,0.006,0.4893,False,True
58,fault_remove_random,fault,0.0068,0.5712,False,True
58,fault_change_target_qubit,fault,0.0057,0.5442,False,True
59,identity,valid,0.0033,0.5157,False,
59,barrier,valid,0.006,0.2301,False,
59,commute,valid,0.0024,0.6384,False,
59,fault_add_x,fault,1.0,0.0,True,True
59,fault_remove_random,fault,0.497,0.0,True,True
59,fault_change_target_qubit,fault,0.5057,0.0,True,True
60,identity,valid,0.0072,0.8519,False,
60,barrier,valid,0.008,0.7031,False,
60,commute,valid,0.0074,0.8509,False,
