relation,type,run,num_qubits,reps,maxiter,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_x,fault,5,6,3,160,48,48,29,29,0.67913278,0.99788317,1.99610594,0.127055,1.01512993,3.40402917,4.31098486,160,True
fault_x,fault,6,6,3,160,48,48,29,29,0.43550303,0.51756631,1.51514708,0.08034214,0.71484386,3.71920139,4.85119255,160,True
fault_x,fault,7,6,3,160,48,48,29,29,0.56020089,0.8435961,1.99425991,0.83567654,1.98167452,3.83686379,6.26839231,160,True
fault_x,fault,8,6,3,160,48,48,29,30,0.03339123,0.2095837,1.20727458,0.10301381,1.02716248,2.59192624,3.4690035,160,True
fault_x,fault,9,6,3,160,48,48,29,29,0.47199266,0.50047174,1.496176,0.1482113,0.96958529,3.31285359,4.54496215,160,True
fault_x,fault,10,6,3,160,48,48,29,29,0.25664764,0.31383566,1.28329341,0.09931388,0.99632187,3.83658498,5.00693855,160,True
fault_x,fault,11,6,3,160,48,48,29,29,0.21888261,0.29789862,1.23663141,0.07797666,0.91546173,2.80616924,3.9657617,160,True
fault_x,fault,12,6,3,160,48,48,29,30,0.51661478,1.19638339,3.95719574,1.27380665,3.95735102,3.65434214,6.08244959,160,True
fault_x,fault,13,6,3,160,48,48,29,29,0.0939051,0.40483511,1.55796732,0.20964633,1.03057777,3.5350833,4.71420359,160,True
fault_x,fault,14,6,3,160,48,48,29,30,0.71757886,0.60264583,1.97358137,0.1974889,1.11770827,4.35467316,6.01490932,160,True
fault_x,fault,15,6,3,160,48,48,29,29,0.20920057,0.76926972,1.97095722,0.85694924,1.9758973,3.45372662,5.4112585,160,True
fault_x,fault,16,6,3,160,48,48,29,29,1.45823181,1.27475462,2.35693225,0.9595167,1.97158821,3.34343898,4.94343048,160,True
fault_x,fault,17,6,3,160,48,48,29,29,0.19045373,0.68048589,1.97240794,0.67900457,1.97728096,3.98755198,5.98629073,160,True
fault_x,fault,18,6,3,160,48,48,29,29,0.0733461,0.32515463,1.9676722,0.36738696,1.97171629,2.63934681,3.23338059,160,True
fault_x,fault,19,6,3,160,48,48,29,29,0.71445484,0.68374794,1.97990352,0.47069202,1.9769639,3.25130131,4.8667125,160,True
fault_x,fault,20,6,3,160,48,48,29,29,0.13940557,0.22213095,0.74907169,0.07768896,0.89000602,3.41248727,4.48173779,160,True
fault_x,fault,21,6,3,160,48,48,29,29,0.12354475,0.4201205,1.9832817,0.47153004,1.9825249,3.49503061,4.52745117,160,True
fault_x,fault,22,6,3,160,48,48,29,30,0.88713357,1.5466926,3.96171173,1.55649832,3.96393964,4.50092073,6.7555571,160,True
fault_x,fault,23,6,3,160,48,48,29,29,0.1012923,0.4262205,1.95539749,0.34502254,1.94420453,4.06925592,5.47669216,160,True
fault_x,fault,24,6,3,160,48,48,29,30,0.05354509,1.50376554,3.94662109,1.49940522,3.94686059,4.42267424,6.53843025,160,True
fault_x,fault,25,6,3,160,48,48,29,29,1.25495685,1.45595574,2.00888348,1.19283869,1.98876613,2.11541792,2.88352388,160,True
fault_x,fault,26,6,3,160,48,48,29,29,0.02772562,0.28230174,1.15561651,0.10027687,1.07862236,2.79804462,3.73684712,160,True
fault_x,fault,27,6,3,160,48,48,29,29,0.96695638,1.15903322,1.98442269,1.10195243,1.98641959,3.72678053,6.02274313,160,True
fault_x,fault,28,6,3,160,48,48,29,29,0.25459793,0.70703079,1.96775109,0.83769791,1.97731348,3.2536252,4.92760076,160,True
fault_x,fault,29,6,3,160,48,48,29,29,0.44183189,0.78223152,1.98261965,0.78050536,1.97213966,3.0278693,4.62180399,160,True
fault_x,fault,30,6,3,160,48,48,29,29,0.26603107,0.74500261,2.1375048,0.90613784,1.9814438,3.41306927,5.14969736,160,True
fault_replace_rot,fault,1,6,3,160,48,48,29,29,0.3075723,0.18799624,1.10057483,0.14809912,0.97193785,1.67630999,2.68187212,160,True
fault_replace_rot,fault,2,6,3,160,48,48,29,29,0.17680814,0.18692035,1.07041049,0.16910825,0.9404369,1.97058478,3.32914092,160,True
fault_replace_rot,fault,3,6,3,160,48,48,29,29,0.1784707,0.09138351,0.77028384,0.06878734,0.93247084,0.7927139,2.21931289,160,True
fault_replace_rot,fault,4,6,3,160,48,48,29,29,0.02031646,0.08771339,1.00354998,0.06443754,1.10816611,1.71366011,2.37358453,160,True
fault_replace_rot,fault,5,6,3,160,48,48,29,29,0.0125543,0.08785145,1.04792033,0.0679957,0.8696652,1.53577297,2.96084249,160,True
fault_replace_rot,fault,6,6,3,160,48,48,29,29,0.29209977,0.15924841,1.08257124,0.09415437,1.04806819,0.79390531,1.98332146,160,True
fault_replace_rot,fault,7,6,3,160,48,48,29,29,0.75343108,0.34439114,1.17651222,0.070942,0.90520867,1.35432196,2.33576788,160,True
