test_id,relation,type,tvd,p_value,violation,expected_violation
62,identity,valid,0.0,1.0,False,
62,barrier,valid,0.0,1.0,False,
62,commute,valid,0.0,1.0,False,
62,fault_add_x,fault,1.0,0.0,True,True
62,fault_remove_random,fault,0.0,1.0,False,True
62,fault_change_target_qubit,fault,0.0,1.0,False,True
63,identity,valid,0.0085,0.7123,False,
63,barrier,valid,0.0066,0.8841,False,
63,commute,valid,0.0117,0.3901,False,
63,fault_add_x,fault,0.0069,0.8943,False,True
63,fault_remove_random,fault,0.0111,0.3997,False,True
63,fault_change_target_qubit,fault,0.014,0.1585,False,True
64,identity,valid,0.0049,0.332,False,
64,barrier,valid,0.0101,0.0434,True,
64,commute,valid,0.0045,0.3789,False,
64,fault_add_x,fault,1.0,0.0,True,True
64,fault_remove_random,fault,1.0,0.0,True,True
64,fault_change_target_qubit,fault,1.0,0.0,True,True
65,identity,valid,0.0,1.0,False,
65,barrier,valid,0.0,1.0,False,
65,commute,valid,0.0,1.0,False,
65,fault_add_x,fault,1.0,0.0,True,True
65,fault_remove_random,fault,1.0,0.0,True,True
65,fault_change_target_qubit,fault,1.0,0.0,True,True
66,identity,valid,0.005,0.3271,False,
66,barrier,valid,0.0062,0.2187,False,
66,commute,valid,0.0018,0.7339,False,
66,fault_add_x,fault,0.0106,0.0349,True,True
66,fault_remove_random,fault,1.0,0.0,True,True
66,fault_change_target_qubit,fault,1.0,0.0,True,True
67,identity,valid,0.0012,0.8181,False,
67,barrier,valid,0.004,0.4295,False,
67,commute,valid,0.0064,0.2005,False,
67,fault_add_x,fault,1.0,0.0,True,True
67,fault_remove_random,fault,0.5048,0.0,True,True
67,fault_change_target_qubit,fault,1.0,0.0,True,True
68,identity,valid,0.0071,0.3677,False,
68,barrier,valid,0.0073,0.3107,False,
68,commute,valid,0.0054,0.6561,False,
68,fault_add_x,fault,0.0043,0.7962,False,True
68,fault_remove_random,fault,0.0092,0.1549,False,True
68,fault_change_target_qubit,fault,0.0033,0.9204,False,True
69,identity,valid,0.0107,0.1241,False,
69,barrier,valid,0.0028,0.9293,False,
69,commute,valid,0.0072,0.4348,False,
69,fault_add_x,fault,1.0,0.0,True,True
69,fault_remove_random,fault,0.0073,0.3123,False,True
69,fault_change_target_qubit,fault,0.5066,0.0,True,True
70,identity,valid,0.0084,0.3264,False,
70,barrier,valid,0.0053,0.6404,False,
70,commute,valid,0.0047,0.8156,False,
70,fault_add_x,fault,0.0071,0.398,False,True
70,fault_remove_random,fault,0.0075,0.3663,False,True
70,fault_change_target_qubit,fault,1.0,0.0,True,True
71,identity,valid,0.0032,0.5287,False,
71,barrier,valid,0.0071,0.1585,False,
71,commute,valid,0.0005,0.9362,False,
71,fault_add_x,fault,1.0,0.0,True,True
71,fault_remove_random,fault,0.001,0.8572,False,True
71,fault_change_target_qubit,fault,0.0041,0.4179,False,True
72,identity,valid,0.0191,0.1444,False,
72,barrier,valid,0.0226,0.0447,True,
72,commute,valid,0.0185,0.1186,False,
72,fault_add_x,fault,0.022,0.0115,True,True
72,fault_remove_random,fault,0.0124,0.8108,False,True
72,fault_change_target_qubit,fault,0.0137,0.4303,False,True
73,identity,valid,0.0031,0.5419,False,
73,barrier,valid,0.0038,0.4593,False,
73,commute,valid,0.001,0.8571,False,
73,fault_add_x,fault,1.0,0.0,True,True
73,fault_remove_random,fault,0.503,0.0,True,True
73,fault_change_target_qubit,fault,0.0038,0.4533,False,True
74,identity,valid,0.0053,0.7106,False,
74,barrier,valid,0.0099,0.1428,False,
74,commute,valid,0.0064,0.4579,False,
74,fault_add_x,fault,1.0,0.0,True,True
74,fault_remove_random,fault,0.5027,0.0,True,True
74,fault_change_target_qubit,fault,0.5035,0.0,True,True
75,identity,valid,0.0,1.0,False,
75,barrier,valid,0.0,1.0,False,
75,commute,valid,0.0,1.0,False,
75,fault_add_x,fault,1.0,0.0,True,True
75,fault_remove_random,fault,0.4976,0.0,True,True
75,fault_change_target_qubit,fault,1.0,0.0,True,True
76,identity,valid,0.0093,0.0629,False,
76,barrier,valid,0.0068,0.177,False,
76,commute,valid,0.0018,0.7263,False,
76,fault_add_x,fault,1.0,0.0,True,True
76,fault_remove_random,fault,1.0,0.0,True,True
76,fault_change_target_qubit,fault,1.0,0.0,True,True
77,identity,valid,0.0151,0.1388,False,
77,barrier,valid,0.0092,0.5225,False,
77,commute,valid,0.0098,0.6557,False,
77,fault_add_x,fault,0.014,0.2197,False,True
77,fault_remove_random,fault,0.4991,0.0,True,True
77,fault_change_target_qubit,fault,0.0126,0.2241,False,True
78,identity,valid,0.0049,0.3271,False,
78,barrier,valid,0.0017,0.749,False,
78,commute,valid,0.0051,0.3077,False,
78,fault_add_x,fault,0.0024,0.6383,False,True
78,fault_remove_random,fault,0.504,0.0,True,True
78,fault_change_target_qubit,fault,0.7514,0.0,True,True
79,identity,valid,0.0056,0.5774,False,
79,barrier,valid,0.0087,0.2315,False,
79,commute,valid,0.0111,0.1222,False,
79,fault_add_x,fault,0.0055,0.5783,False,True
79,fault_remove_random,fault,0.5045,0.0,True,True
79,fault_change_target_qubit,fault,0.0059,0.5627,False,True
80,identity,valid,0.0017,0.7338,False,
