phase,relation,type,run,num_qubits,reps,maxiter,shots,optimizer,oracle_variant,noise_model,one_qubit_error_rate,two_qubit_error_rate,readout_error_rate,include_thermal,energy_threshold,symmetry_threshold,param_threshold,random_seed,pair_seed,transform_seed,hamiltonian_symmetry_commute,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,energy_violation,symmetry_violation,violation
noisy_shot_based,fault_x,fault,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,48,33,34,0.15185547,0.16527275,0.77880859,0.07669625,0.40429688,1.3069661,2.08870456,257,True,True,True
noisy_shot_based,fault_x,fault,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,48,33,34,0.03320312,0.1249696,0.65625,0.06708262,0.31640625,1.65490752,2.66111829,257,False,True,True
noisy_shot_based,fault_x,fault,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,48,33,33,0.61914062,0.83572091,1.42626953,0.68014348,1.42382812,1.61308941,2.61459353,257,True,True,True
noisy_shot_based,fault_x,fault,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,48,33,33,0.54638672,0.83370889,1.41113281,0.85111792,1.42871094,1.04908986,1.89863295,257,True,True,True
noisy_shot_based,fault_x,fault,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,48,33,33,0.05859375,0.12700632,0.59130859,0.07672665,0.47753906,1.34546129,2.21913733,257,False,True,True
noisy_shot_based,fault_x,fault,6,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300005,2005,True,48,48,33,34,1.63232422,1.96900459,2.85449219,1.72846243,2.85644531,1.3538801,2.34104086,257,True,True,True
noisy_shot_based,fault_x,fault,7,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300006,2006,True,48,48,33,34,0.04589844,0.13069978,0.69726562,0.07859618,0.36328125,1.47838618,2.6607079,257,False,True,True
noisy_shot_based,fault_x,fault,8,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300007,2007,True,48,48,33,34,0.81542969,1.51253192,2.90234375,1.54324614,2.88964844,1.89865896,3.04274003,257,True,True,True
noisy_shot_based,fault_x,fault,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,48,33,33,0.10986328,0.132879,0.56103516,0.08892419,0.43359375,1.29073894,2.09496214,257,True,True,True
noisy_shot_based,fault_x,fault,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,48,33,33,0.61962891,0.90267814,1.41992188,1.00596197,1.46289062,1.9646262,3.30837809,257,True,True,True
