test_id,relation,type,tvd,p_value,chi2_stat,tvd_violation,chi_violation,violation,expected_violation
22,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
22,fault_remove_random,fault,0.4973,0.0,13236.6154,True,True,True,True
22,fault_change_target_qubit,fault,0.5013,0.0,19974.3196,True,True,True,True
23,identity,valid,0.0029,0.5687,0.3249,False,False,False,False
23,barrier,valid,0.005,0.3271,0.9604,False,False,False,False
23,commute,valid,0.005,0.3271,0.9604,False,False,False,False
23,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
23,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
23,fault_change_target_qubit,fault,0.0013,0.8103,0.0576,False,False,False,True
24,identity,valid,0.0,1.0,0.0,False,False,False,False
24,barrier,valid,0.0,1.0,0.0,False,False,False,False
24,commute,valid,0.0,1.0,0.0,False,False,False,False
24,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
24,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
24,fault_change_target_qubit,fault,1.0,0.0,39996.0001,True,True,True,True
25,identity,valid,0.0,1.0,0.0,False,False,False,False
25,barrier,valid,0.0,1.0,0.0,False,False,False,False
25,commute,valid,0.0,1.0,0.0,False,False,False,False
25,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
25,fault_remove_random,fault,0.0,1.0,0.0,False,False,False,True
25,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
26,identity,valid,0.0111,0.0264,4.9284,False,False,False,False
26,barrier,valid,0.0121,0.0155,5.8565,False,False,False,False
26,commute,valid,0.0074,0.1416,2.1609,False,False,False,False
26,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
26,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
26,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
27,identity,valid,0.0057,0.2585,1.277,False,False,False,False
27,barrier,valid,0.0085,0.0891,2.8901,False,False,False,False
27,commute,valid,0.0096,0.0561,3.6482,False,False,False,False
27,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
27,fault_remove_random,fault,0.0013,0.8026,0.0625,False,False,False,True
27,fault_change_target_qubit,fault,0.0033,0.5157,0.4226,False,False,False,True
28,identity,valid,0.0076,0.3451,3.3183,False,False,False,False
28,barrier,valid,0.0072,0.3377,3.3726,False,False,False,False
28,commute,valid,0.0079,0.3445,3.3226,False,False,False,False
28,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
28,fault_remove_random,fault,0.5039,0.0,19972.0325,True,True,True,True
28,fault_change_target_qubit,fault,0.0025,0.958,0.3108,False,False,False,True
29,identity,valid,0.0023,0.6455,0.2116,False,False,False,False
29,barrier,valid,0.0014,0.7795,0.0784,False,False,False,False
29,commute,valid,0.0008,0.8887,0.0196,False,False,False,False
29,fault_add_x,fault,0.0064,0.2041,1.6129,False,False,False,True
29,fault_remove_random,fault,0.502,0.0,19973.5932,True,True,True,True
29,fault_change_target_qubit,fault,0.0001,0.992,0.0001,False,False,False,True
30,identity,valid,0.0,1.0,0.0,False,False,False,False
30,barrier,valid,0.0,1.0,0.0,False,False,False,False
30,commute,valid,0.0,1.0,0.0,False,False,False,False
30,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
30,fault_remove_random,fault,0.0,1.0,0.0,False,False,False,True
30,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
31,identity,valid,0.0104,0.184,4.8389,False,False,False,False
31,barrier,valid,0.0158,0.0046,13.0007,False,True,True,False
31,commute,valid,0.012,0.0953,6.3613,False,False,False,False
31,fault_add_x,fault,0.0058,0.5586,2.0673,False,False,False,True
31,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
31,fault_change_target_qubit,fault,0.5045,0.0,20033.503,True,True,True,True
32,identity,valid,0.0052,0.6135,1.8067,False,False,False,False
32,barrier,valid,0.0089,0.2318,4.2904,False,False,False,False
32,commute,valid,0.0053,0.6735,1.5382,False,False,False,False
32,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
